Describe the main red herring (if present),How satisfying is this story as a piece of detective fiction?,Plot Summary (25-50 words),Assistant #1 Role,Of what type is the essential clue (if present)?,Story Code,Presence of planted or fabricated evidence,When do(es) the crime(s)/mystery being investigated occur?,In what order are the investigation and reveal portions provided?,"More Than Two Assistants? (If yes, enter total number)","What is the ""reveal border"" sentence?",Are one or more culprits introduced into the story only during the reveal?,Of what type is the main red herring (if present)?,Name of Detective #2,Types of evidence made available in the story,"More Than Two Detectives? (If yes, enter total number)",Detective #1 Role,Of what type is the most salient clue (if clues are present)?,Would you recommend this story to a friend?,Annotator #1 Code,Number of culprits of gender Unknown,Types of crimes or quasi-crimes present in story,Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Annotator #2 Code,Did either annotator personally correctly guess the solution to the crime before the reveal?,Name of Assistant #1,Assistant #2 Role,Number of culprits of gender Non-binary,Types of clues,Number of culprits of gender Female,Name of Assistant #2,Author Code,Story Name,Detective #2 Gender,What is the essential clue in the story (if present)?,Number of culprits of gender Male,The main culprit,Number of victims of gender Female,Detective #1 Gender,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,Is the crime solved?,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,Second author code (if applicable),Means (murder only),What is the most salient clue in the story (if clues are present)?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Crime trajectory,Assistant #2 Gender,Motives,Detective #2 Role,Number of victims of gender Male,Assistant #1 Gender,The story's main action focuses on a,Name of Detective #1,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book,Surname(s),Given Name(s),Sex,publication_year,crime_trajectory
Henriette's potential loss of her inheritance,3,"(Racism) The Lady d’Alboukirk lives with her heir, the athletic Henriette. But when her pretty, dainty younger sister Joan comes to live with them, Roonah, Joan’s servant, is murdered, and the papers which stake Joan’s claim to the d’Alboukirk estate go missing.",Independent professional (solo),Testimonial clue,LMSY04,NA,Before the investigation,Standard,NA,"“Yes. I suspected it from the first,” replied Lady Molly calmly.",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Member of the police,Testimonial clue,No,SO,0,"Murder, Theft, Fraud, Forgery",No,MS,No,Mary Granard,NA,0,"Legible but not usable (legible → not usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,BO,The Fordwych Castle Mystery,NA,Roonah would not give Mr. McKinley access to the documents,0,Acts mostly alone with some assistance,3,Female,No,Yes,Yes,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,Long talks with the lawyer (Mr. McKinley),No,Qrime → same qrime,NA,Greed,NA,0,Female,Crime,Molly Robertson-Kirk,1905-03-24 00:00:00+00:00,Book,Lady Molly of Scotland Yard,Orczy,Emma,F,1905,Qrime_to_same_qrime
Gags and bounds on Jane Turner,3,Jane Turner is found bound and gagged in her own home! And her handbag is stolen! Who could have done such a thing? And why is Her Serene Highness involved in this affair?,Independent professional (solo),Physical clue,LMSY05,Fabricated,"Before the investigation, During the investigation",Standard,NA,"It is wonderful how cleverly a girl like that worked out such a complicated scheme, all alone.”",No,Physical clue,NA,"Testimonial evidence, Physical evidence",NA,Member of the police,Testimonial clue,No,SO,0,"Theft, Fraud, Blackmail, Assault, Breaking and entering",No,MS,No,Mary Granard,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible)",1,NA,BO,A Day’s Folly,NA,H.S.H. from the personal columns of the West of England Times is a code for meeting at the railway,0,Acts alone,1,Female,No,Yes,Yes,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,Late appointments at the railway station,No,Qrime → different qrime,NA,Greed,NA,0,Female,Crime,Molly Robertson-Kirk,1905-03-24 00:00:00+00:00,Book,Lady Molly of Scotland Yard,Orczy,Emma,F,1905,Qrime_to_different_qrime
NA,3,"An eccentric old lady constructs an elaborate plan on her deathbed, to thwart the machinations of her sister and nephew, but she needs Lady Molly's help to execute it. After promising to execute the will in a year’s time, Lady Molly is struck ill! Does her illness have something to do with the will?",Independent professional (solo),NA,LMSY06,NA,During the investigation,Other,NA,It contained a short document whereon the signature “Amédé de Terhoven” was clearly visible.,No,NA,NA,NA,NA,Member of the police,NA,Yes,SO,0,"Theft, Blackmail, Bribery, Assault",No,MS,No,Mary Granard,NA,0,NA,2,NA,BO,A Castle In Brittany,NA,NA,1,Acts together with one or more equal partners,1,Female,No,Yes,Yes,A private client,Police are not present,NA,NA,NA,No,No qrime → no qrime,NA,"Greed, Self-defence",NA,1,Female,Quasi-crime,Molly Robertson-Kirk,1905-03-24 00:00:00+00:00,Book,Lady Molly of Scotland Yard,Orczy,Emma,F,1905,No_qrime_to_no_qrime
NA,3,"After Hon. Robert de Genneville is found brutally murdered the day before his wedding, all signs point to his twin brother, just in time for his usurpence of the family estate. But as journalist Polly Burton and the man in the corner analyze the crime, the twin’s lawyer has more to do with it than initially meets the eye.",Independent amateur,Physical clue,OMIC11,"Planted, Fabricated",Before the investigation,Standard,NA,“And yet see how simple it is!”,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,SK,0,"Murder, Theft, Fraud",No,MAL,No,Polly Burton,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,BO,The De Genneville Peerage,NA,The mutiliation of the corpse,1,Acts alone,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Blunt force trauma,The description of the alleged victim (cape) from witnesses who never met him suggests a disguise,No,Qrime → different qrime,NA,"Greed, Revenge",NA,1,Female,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_different_qrime
NA,4,"Erratic behavior, a sudden lover, and an even more sudden suicide; all of these factors point towards unusual circumstances regarding the death of Mrs Owens and her frozen cockatoo.",Independent amateur,Physical clue,OMIC12,NA,Before the investigation,Standard,NA,"""How the murder was committed?"" he said eagerly.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,SK,0,"Murder, Blackmail",Yes,MAL,Yes,Polly Burton,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,BO,The Mysterious Death in Percy Street,NA,The window tied with the sash-line string,1,Acts alone,1,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Other,Strained relationship with nephew,Yes,Qrime → same qrime,NA,Greed,NA,0,Female,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_same_qrime
NA,5,"With the brutal murder and dismemberment of Mr. Dyke, a disabled father living alone, the interest of not just the residents of Lisson Grove, but Detective Owens is set ablaze as we learn about the mind-boggling mechanisms behind this homicide.",Independent amateur,Testimonial clue,CME06,"Planted, Fabricated",Before the investigation,Standard,NA,"“But then, who murdered the old man?” I asked",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,SK,0,Murder,No,MAL,No,Polly Burton,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,BO,The Lisson Grove Mystery,NA,The new housekeeper never seeing the victim before,1,Acts together with one or more equal partners,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Blunt force trauma,The recipient (Amelia) of the inheritance,No,Qrime → same qrime,NA,Greed,NA,1,Female,Crime,Bill Owen,1904-05-01 00:00:00+00:00,Journal,The Royal Magazine,Orczy,Emma,F,1904,Qrime_to_same_qrime
NA,3,"With greed, pride, and bitter feelings lurking behind the scenes, all evidence regarding Miss Pebmarsh’s death points towards her theatre-loving niece. However, with the clever investigations of Bill Owens, matters are suddenly complicated in a way never expected.",Independent amateur,Testimonial clue,CME05,Fabricated,Before the investigation,Standard,NA,There was yet another act in that palpitating drama of her life— one act— the dénouement as unexpected as it was thrilling.,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Murder, Blackmail, Forgery",No,MAL,No,Polly Burton,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,BO,The Murder of Miss Pebmarsh,NA,The victim being left-handed,1,Acts alone,2,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,The husband suddenly leaving,No,Qrime → same qrime,NA,Pride,NA,0,Female,Crime,Bill Owen,1904-05-01 00:00:00+00:00,Journal,The Royal Magazine,Orczy,Emma,F,1904,Qrime_to_same_qrime
NA,2,"When a popular lady doctor is found dead by a footbridge, surgical knife in hand, Polly Burton discusses who among a cast of professionals in a corrupt hospital could be responsible for Miss Elliot’s alleged suicide.",Independent amateur,Physical clue,CME01,NA,Before the investigation,Standard,NA,"“To everyone,” rejoined the funny creature, “except to me.”",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Murder, Theft",No,MAL,No,Polly Burton,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",0,NA,BO,The Case of Miss Elliott,NA,The surgical precision of the fatal,2,Acts together with one or more equal partners,1,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,The shady happenings of the hospital and missing funds,No,Qrime → same qrime,NA,"Greed, Pride",NA,0,Female,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_same_qrime
NA,5,"A man is murdered by a stiletto in Paris, and a crime with the same modus operandi occurs a year later, this time to Philip Le Cheminant,  the recently discovered nephew of Earl Tremarn. The public suspects his cousin Harold, however, was Philip Le Cheminant exactly who he seemed?",Independent amateur,Physical clue,CME07,NA,Before the investigation,Standard,NA,"“Who, indeed?” he replied with a chuckle, “who but the man who was as wax in the hands of that impostor?”",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,CC,0,"Murder, Fraud, Blackmail",Yes,WW,No,Polly Burton,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,BO,The Tremarn Case,NA,The original unsolved murder with the same MO,2,Acts alone,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,The behaviour of Lord Tremarn when he discovers he has a new heir,No,Qrime → same qrime,NA,"Greed, Revenge, Pride",NA,3,Female,Crime,Bill Owen,1905-03-18 00:00:00+00:00,Journal,The Royal Magazine,Orczy,Emma,F,1905,Qrime_to_same_qrime
NA,3,"A manufacturer entrusts Captain Markham with delivering a map to the freight ship Artemis, necessary for navigating the mine-ridden waters of its route. When the captain is discovered bound, gagged, and robbed, all hope seems lost for the ship. Months later, the unexpected news: the Artemis has safely reached Port Arthur.",Independent amateur,Physical clue,CME08,Fabricated,"Before the investigation, During the investigation",Standard,NA,"“Of course I have a theory,” he replied placidly; “nay, more, the only explanation of those mysterious events.",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,CC,0,"Murder, Theft, Fraud, Blackmail, Assault, Mischief",No,WW,No,Polly Burton,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",1,NA,BO,The Fate of the Artemis,NA,The fragments of the letter,6,Acts together with one or more equal partners,0,Male,No,Yes,No,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Arson,The behaviour of Captain Markham,No,Qrime → different qrime,NA,"Greed, Love, Ideology, Pride",NA,1,Female,Quasi-crime,Bill Owen,1905-03-18 00:00:00+00:00,Journal,The Royal Magazine,Orczy,Emma,F,1905,Qrime_to_different_qrime
NA,4,"When a rich heiress’s new husband vanishes without a trace along with the entirety of her fortune, her spurned suitor becomes a prime suspect. But when no body or proof of murder emerges, the police can only leave the case cold, that is, until Bill Owens is on the case!",Independent amateur,Testimonial clue,CME09,NA,Before the investigation,Standard,NA,"“A simple one,” he rejoined quietly, as he once more began to fidget with his bit of string.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,CC,0,"Suspected murder, Theft, Fraud",Yes,WW,Yes,Polly Burton,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,BO,The Disappearance of Count Collini,NA,The fact that Count Collini persuaded Alice to withdraw her fortune in cash,2,Acts together with one or more equal partners,1,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,Impossibility of Count Collini having left the country or having been murdered without being found,No,Qrime → different qrime,NA,"Greed, Revenge",NA,0,Female,Crime,Bill Owen,1905-03-18 00:00:00+00:00,Journal,The Royal Magazine,Orczy,Emma,F,1905,Qrime_to_different_qrime
NA,3,"Mat Newton, a village sweet-shop owner, is found bludgeoned to death in a passion-driven incident with a heavy cane. Five years ago, his daughter had eloped with a mysterious suitor of a higher social station, only to return penniless four years later.",Independent amateur,Testimonial clue,CME10,Fabricated,Before the investigation,Standard,NA,"“Common sense,” he said at last, with his most apologetic manner, “tells me that Ayrsham village is a remote little place, where a daily paper is unknown, and where no one reads the fashionable intelligence or knows anything about birthday honours.”",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,CC,0,Murder,Yes,WW,Yes,Polly Burton,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",0,NA,BO,The Ayrsham Mystery,NA,Lord Walterton being Mr. Ledbury,1,Acts alone,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Blunt force trauma,Quality of the murder weapon indicating it was a rich gentleman,No,Qrime → same qrime,NA,"Greed, Pride",NA,1,Female,Crime,Bill Owens,1905-03-18 00:00:00+00:00,Journal,The Royal Magazine,Orczy,Emma,F,1905,Qrime_to_same_qrime
NA,3,"A loafer attempts to steal the pearls of Phyllis Morgan, a celebrated actress, but his crime is foiled by the stage-door keeper. The next day, Morgan discovers that the retrieved pearls are fakes. Who was this loafer, and what happened to the pearls?",Independent amateur,Testimonial clue,CME11,Fabricated,Before the investigation,Standard,NA,"“No,” said the funny creature, with comic emphasis, “there is but one theory possible, which is my own.”",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,CC,0,"Theft, Fraud, Assault, Forgery, Breaking and entering",Yes,WW,Yes,Polly Burton,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",0,NA,BO,The Affair at the Novelty Theatre,NA,The flowers being bought by a loafer,1,Acts mostly alone with some assistance,1,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,Rumford’s access to the pearls and ability to forge them,No,Qrime → same qrime,NA,Greed,NA,1,Female,Crime,Bill Owen,1905-03-18 00:00:00+00:00,Journal,The Royal Magazine,Orczy,Emma,F,1905,Qrime_to_same_qrime
